Station,dist_to_TRAIN_km
1508,2.1608554895344443
1509,2.1414912389370593
1510,2.1135610294956555
1511,2.094022632963156
1512,2.0789470181366676
1513,2.0578572377772217
1514,2.0321119505439684
1515,2.0088531314377818
1516,1.9954125695499412
1517,1.9838654757655587
1518,1.9659222238730012
1519,1.959717726918905
1520,1.9597409725543722
1521,1.957290759454438
1522,1.9513197545904697
1523,1.9480945160224137
1524,1.9412563764715192
1525,1.934572258860074
1526,1.931125598763672
1527,1.9242075009977115
1528,1.9153058523136506
1529,1.9064236085131612
1530,1.899383947332828
1531,1.892622952639515
1532,1.8838535932294258
1533,1.8797591445338693
1534,1.8750763107385195
1535,1.8738904119193334
1536,1.8711324264772256
1537,1.8719886456707642
1538,1.8721224864188408
1539,1.8730225354221959
1540,1.8734950870964837
1541,1.8741100875155081
1542,1.873383566702179
1543,1.8731886621404668
1544,1.8737542519662322
1545,1.8737299271281571
1546,1.8740239219491006
1547,1.8738295988552491
1548,1.8735750961293622
1549,1.8737087423557799
1550,1.8726087446023088
1551,1.8719579356893166
1552,1.8685288241885587
1553,1.8662921270284976
1554,1.8636509317040542
1555,1.8615524871449631
1556,1.8589733413004166
1557,1.8553905281559806
1558,1.8483120216871136
1559,1.8447915677343336
1560,1.8394067651078339
1561,1.839929326247128
1562,1.8404408627772548
1563,1.8377739347917077
1564,1.8358811662122045
1565,1.8352287630607467
1566,1.8346736278315066
1567,1.8346973977807115
1568,1.8325799350310772
1569,1.831787153362204
1570,1.8323560348074337
1571,1.8328604663050794
1572,1.8347503579417757
1573,1.8329148414663259
1574,1.828377277729402
1575,1.8232267125317974
1576,1.8227767741457903
1577,1.8211711033931206
1578,1.817904168387997
1579,1.817833035221033
1580,1.8128636089786536
1581,1.810683288819731
1582,1.8080901708932549
1583,1.8039146507843653
1584,1.8058190677124626
1585,1.7975159563906737
1586,1.794154080821869
1587,1.779833786624987
1588,1.7855337756886815
1589,1.763117893761187
5510,1.5960440428554892
5511,2.1091893029701625
5575,1.8534483747743236
5900,2.0877135626122674
9211,1.4758333523043656
